barcodebarcodebarcodebarcode,bin,category,brand,model
100000000001,A1,Electronics,Sony,X100
100000000002,A2,Electronics,Samsung,GalaxyS21
100000000003,A3,Electronics,Apple,iPhone12
100000000004,A4,Electronics,LG,OLED55
100000000005,A5,Electronics,Panasonic,TX50
100000000006,B1,Home,Whirlpool,WasherX
100000000007,B2,Home,Bosch,Dishwasher300
100000000008,B3,Home,GE,FridgeMax
100000000009,B4,Home,Samsung,VacuumPro
100000000010,B5,Home,LG,MicrowaveZ
100000000011,C1,Sports,Nike,AirMax
100000000012,C2,Sports,Adidas,Predator
100000000013,C3,Sports,Puma,SpeedCat
100000000014,C4,Sports,UnderArmour,HOVR
100000000015,C5,Sports,Reebok,Classic
100000000016,D1,Clothing,Levi's,501
100000000017,D2,Clothing,GAP,BasicShirt
100000000018,D3,Clothing,H&M,SummerTop
100000000019,D4,Clothing,Zara,DenimJacket
100000000020,D5,Clothing,Uniqlo,HeatTech
100000000021,E1,Toys,Lego,StarWars
100000000022,E2,Toys,Mattel,BarbieDream
100000000023,E3,Toys,Hasbro,Monopoly
100000000024,E4,Toys,Nerf,BlasterX
100000000025,E5,Toys,Playmobil,CitySet
100000000026,F1,Automotive,Toyota,Corolla
100000000027,F2,Automotive,Honda,Civic
100000000028,F3,Automotive,Ford,Focus
100000000029,F4,Automotive,Chevy,Malibu
100000000030,F5,Automotive,BMW,320i
100000000031,G1,Books,Penguin,NovelA
100000000032,G2,Books,HarperCollins,NovelB
100000000033,G3,Books,RandomHouse,NovelC
100000000034,G4,Books,Macmillan,NovelD
100000000035,G5,Books,Scholastic,NovelE
100000000036,H1,Electronics,Sony,HeadphonesX
100000000037,H2,Electronics,Apple,AirPods
100000000038,H3,Electronics,Bose,QuietComfort
100000000039,H4,Electronics,Samsung,SoundBar
100000000040,H5,Electronics,LG,HomeTheater
100000000041,I1,Home,Philips,AirFryer
100000000042,I2,Home,DeLonghi,CoffeeMaker
100000000043,I3,Home,Keurig,K200
100000000044,I4,Home,Panasonic,ToasterOven
100000000045,I5,Home,KitchenAid,MixerPro
100000000046,J1,Sports,Nike,ZoomX
100000000047,J2,Sports,Adidas,Ultraboost
100000000048,J3,Sports,Puma,RS-X
100000000049,J4,Sports,Reebok,NanoX
100000000050,J5,Sports,UnderArmour,Charged
